date,year,month,month_name,commodity,avg_price_ngn,mom_pct,yoy_pct,highest_state,highest_price,lowest_state,lowest_price
2025-05-01,2025,5,May,Bread Unsliced 450g,1556.06,0.5518,,Ebonyi,1937.5,Yobe,950.0
2025-05-01,2025,5,May,Carrots Fresh,1911.69,-1.0164,,Imo,3034.79,Borno,1097.91
2025-05-01,2025,5,May,Catfish Fresh,5613.44,0.7347,64.1964,Plateau,8218.1,Yobe,3315.77
2025-05-01,2025,5,May,Chicken Feet,3506.13,0.0979,20.596,Kwara,5077.6,Adamawa,1250.0
2025-05-01,2025,5,May,Chicken Meat Frozen,5808.52,1.1911,15.4307,Enugu,8372.67,Gombe,4600.0
2025-05-01,2025,5,May,Chicken Wings,4831.51,1.2487,35.6541,Ogun,6410.89,Adamawa,3050.0
2025-05-01,2025,5,May,Crayfish Small White,8046.84,20.9021,,Gombe,10000.0,Delta,6466.65
2025-05-01,2025,5,May,Dried Fish Bonga,6703.08,0.681,,Ebonyi,10240.0,Borno,4050.0
2025-05-01,2025,5,May,Evaporated Milk Peak 150g,1011.75,1.7658,29.0522,Enugu,1401.88,Adamawa,875.0
2025-05-01,2025,5,May,Evaporated Milk Three Crown 160g,906.08,1.9319,,Bayelsa,1108.69,Osun,800.0
2025-05-01,2025,5,May,Garri White,1341.79,-0.2459,20.3702,Abuja,1906.9,Oyo,1025.0
2025-05-01,2025,5,May,Garri Yellow,1438.26,1.1191,21.439,Borno,2150.0,Delta,1112.37
2025-05-01,2025,5,May,Ginger Fresh,5505.77,10.7655,,Ogun,7257.55,Adamawa,4000.0
2025-05-01,2025,5,May,Goat Meat Bone-In,6710.94,0.0371,,Imo,9368.6,Taraba,3900.0
2025-05-01,2025,5,May,Groundnut Oil 75cl,3215.27,-1.0784,,Lagos,4335.33,Abia,2386.43
2025-05-01,2025,5,May,Groundnuts Roasted 75cl,2605.85,2.3622,,Lagos,3731.57,Yobe,1900.0
2025-05-01,2025,5,May,Irish Potato,2081.09,6.799,30.4705,Bauchi,4900.0,Gombe,1150.0
2025-05-01,2025,5,May,Mackerel Frozen,5466.19,0.9008,60.5522,Plateau,9003.0,Zamfara,3689.44
2025-05-01,2025,5,May,Maize White Grain,1216.55,-1.8602,28.0366,Imo,1995.83,Yobe,711.13
2025-05-01,2025,5,May,Onions Fresh,1607.38,6.9046,37.5109,Abia,3002.67,Niger,858.2
2025-05-01,2025,5,May,Palm Oil 75cl,2475.08,-1.6403,47.061,Enugu,3242.22,Taraba,1846.67
2025-05-01,2025,5,May,Plantain Ripe,2079.84,1.0909,87.9953,Plateau,2699.63,Gombe,1250.0
2025-05-01,2025,5,May,Plantain Unripe,2307.64,3.3978,102.5989,Taraba,4900.0,Gombe,1550.0
2025-05-01,2025,5,May,Rice Local Broken,2576.6,2.3319,,Abuja,3801.96,Zamfara,1672.93
2025-05-01,2025,5,May,Rice Local Short-Grain,2095.29,-2.2742,30.2318,Imo,2652.0,Taraba,1600.0
2025-05-01,2025,5,May,Rice Long-Grain Imported,2604.69,1.1877,31.2262,Cross River,3237.98,Taraba,2000.0
2025-05-01,2025,5,May,Semovita 1kg,2293.91,1.6263,,Adamawa,2880.0,Oyo,1921.56
2025-05-01,2025,5,May,Smoked Fish Mackerel,6064.74,2.4304,,Kwara,8271.12,Kebbi,3885.41
2025-05-01,2025,5,May,Sweet Potatoes,1045.03,11.3605,-1.6259,Rivers,1804.94,Nasarawa,568.11
2025-05-01,2025,5,May,Tilapia Fresh,5557.98,1.2514,76.5374,Benue,8352.85,Yobe,3400.0
2025-05-01,2025,5,May,Titus Frozen,6076.52,2.3106,69.8549,Kwara,8943.99,Yobe,4550.0
2025-05-01,2025,5,May,Tomatoes Fresh,1392.71,8.5028,-5.878,Imo,2157.56,Kebbi,871.76
2025-05-01,2025,5,May,Vegetable Oil 75cl,3347.49,-0.8096,50.0464,Lagos,4820.0,Katsina,2696.21
2025-05-01,2025,5,May,Watermelon Fresh Medium,2078.5,1.028,,Anambra,3075.49,Yobe,1200.0
2025-05-01,2025,5,May,Wheat Flour 2kg,4185.55,0.4555,39.4442,Imo,6424.33,Ogun,3378.04
2025-05-01,2025,5,May,Yam Tuber,2375.4,6.0406,79.633,Imo,3332.34,Benue,1825.45
2025-06-01,2025,6,June,Agric Hen Eggs,268.13,0.9058,59.1178,Enugu,374.66,Gombe,240.0
2025-06-01,2025,6,June,Agric Hen Eggs (Crate of 30 Pieces),6326.55,1.0,,Enugu,8504.06,Niger,5312.59
2025-06-01,2025,6,June,Beans Brown,2319.99,-2.7318,1.1877,Enugu,3484.57,Kebbi,1573.77
2025-06-01,2025,6,June,Beans White,2030.08,-0.5112,-5.7475,Enugu,3021.67,Abuja,1533.39
2025-06-01,2025,6,June,Beef Boneless,6808.96,2.1918,26.0792,Imo,9327.48,Yobe,5250.0
2025-06-01,2025,6,June,Bread Sliced 450g,1651.39,-0.3739,,Ebonyi,1977.34,Yobe,1000.0
2025-06-01,2025,6,June,Bread Unsliced 450g,1569.95,0.8928,,Ebonyi,1938.28,Gombe,1000.0
2025-06-01,2025,6,June,Carrots Fresh,1897.75,-0.7292,,Imo,3080.31,Borno,1060.64
2025-06-01,2025,6,June,Catfish Fresh,5744.25,2.3304,58.8923,Plateau,8300.36,Zamfara,3684.34
2025-06-01,2025,6,June,Chicken Feet,3576.33,2.0022,15.7838,Osun,5389.16,Bauchi,1250.0
2025-06-01,2025,6,June,Chicken Meat Frozen,5833.06,0.4224,11.3052,Enugu,8431.28,Katsina,4565.25
2025-06-01,2025,6,June,Chicken Wings,4839.85,0.1727,28.8259,Ogun,6417.86,Yobe,2850.0
2025-06-01,2025,6,June,Crayfish Small White,8753.21,8.7783,,Ekiti,11847.17,Cross River,7096.3
2025-06-01,2025,6,June,Dried Fish Bonga,7024.16,4.79,,Imo,10250.34,Taraba,4850.0
2025-06-01,2025,6,June,Evaporated Milk Peak 150g,1028.29,1.6346,28.2959,Enugu,1402.86,Jigawa,815.26
2025-06-01,2025,6,June,Evaporated Milk Three Crown 160g,910.08,0.4413,,Bayelsa,1116.56,Niger,804.52
2025-06-01,2025,6,June,Garri White,1298.19,-3.2492,14.3271,Abuja,1911.12,Ekiti,1072.12
2025-06-01,2025,6,June,Garri Yellow,1396.72,-2.888,15.0533,Borno,1950.0,Kaduna,1118.12
2025-06-01,2025,6,June,Ginger Fresh,5618.72,2.0514,,Ekiti,7000.0,Yobe,4050.0
2025-06-01,2025,6,June,Goat Meat Bone-In,6779.49,1.0214,,Imo,9377.03,Kogi,4018.55
2025-06-01,2025,6,June,Groundnut Oil 75cl,3279.63,2.0017,,Imo,4282.27,Abia,2399.08
2025-06-01,2025,6,June,Groundnuts Roasted 75cl,2636.26,1.167,,Lagos,3989.73,Yobe,2055.13
2025-06-01,2025,6,June,Irish Potato,2045.94,-1.6891,-15.5709,Bauchi,4600.0,Yobe,1200.0
2025-06-01,2025,6,June,Mackerel Frozen,5557.24,1.6657,53.6171,Plateau,9055.31,Zamfara,3550.07
2025-06-01,2025,6,June,Maize White Grain,1188.37,-2.3163,18.5739,Imo,1967.01,Gombe,770.0
2025-06-01,2025,6,June,Onions Fresh,1559.02,-3.0086,0.7264,Abia,2854.97,Niger,859.97
