commodity,target_date,as_of_date,month_sin,month_cos,lag1_mom_pct,lag2_mom_pct,lag3_mom_pct,lag12_mom_pct,fuel_mom_pct,fx_mom_pct,is_harvest_month,is_lean_month,is_import,n_history_months,source,target_mom_pct
Yam Tuber,2008-01-01,2007-12-01,0.49999999999999994,0.8660254037844387,2.8795079675705715,-0.7704835880731786,2.500327289798654,,,0.0,0,0,0,12,WB_RTFP,2.9448234094096915
Agric Hen Eggs (Crate of 30 Pieces),2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,3.0890359203081807,1.620260599154788,-1.9983972882381518,3.2032583442268336,,0.0,0,0,0,13,WB_RTFP,2.314004020375049
Beans Brown,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,4.8840214336703935,0.8593584046135305,-4.476453499663169,4.634457232606026,,0.0,0,0,0,13,WB_RTFP,5.835303816729143
Beef Boneless,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,2.5237801779463442,0.5065542204506279,-2.5976290870610597,2.5931274103122126,,0.0,0,0,0,13,WB_RTFP,0.8731897268193345
Garri White,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,10.703723376912656,-0.834633199778434,-7.3202457929531395,0.6357558562245291,,0.0,0,0,0,13,WB_RTFP,0.7364435873068009
Goat Meat Bone-In,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,2.431099527198377,0.4807808261806379,-2.508399613117396,2.340447608906726,,0.0,0,0,0,13,WB_RTFP,1.19587321292014
Maize White Grain,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,7.950601435838922,3.170899949415218,-2.1188551400466826,2.476383198260912,,0.0,0,0,0,13,WB_RTFP,3.7513350436573
Onions Fresh,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,5.454860914967274,1.972514812376569,-1.6147901663367548,1.6092667903146118,,0.0,1,0,0,13,WB_RTFP,1.9521490091944704
Rice Long-Grain Imported,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,5.92684406626991,1.324675651211904,-2.300382353049568,0.8902671661897621,,,0,0,1,13,WB_RTFP,1.3591864559248323
Yam Tuber,2008-02-01,2008-01-01,0.8660254037844386,0.5000000000000001,2.9448234094096915,2.8795079675705715,-0.7704835880731786,4.414025041470659,,0.0,0,0,0,13,WB_RTFP,2.421828191547837
Agric Hen Eggs (Crate of 30 Pieces),2008-03-01,2008-02-01,1.0,6.123233995736766e-17,2.314004020375049,3.0890359203081807,1.620260599154788,-0.5679755204763159,,0.0,0,1,0,14,WB_RTFP,3.9526872716864725
Beans Brown,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,5.835303816729143,4.8840214336703935,0.8593584046135305,0.29009375909059276,,0.0,0,0,0,14,WB_RTFP,5.745444389966825
Beef Boneless,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,0.8731897268193345,2.5237801779463442,0.5065542204506279,-0.3861612322798247,,0.0,0,0,0,14,WB_RTFP,2.5711133384387352
Garri White,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,0.7364435873068009,10.703723376912656,-0.834633199778434,-5.461186662231066,,0.0,0,1,0,14,WB_RTFP,-0.8764112618232622
Goat Meat Bone-In,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,1.19587321292014,2.431099527198377,0.4807808261806379,-0.4244453483614352,,0.0,0,0,0,14,WB_RTFP,2.539781781583361
Maize White Grain,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,3.7513350436573,7.950601435838922,3.170899949415218,-3.377486680678421,,0.0,0,0,0,14,WB_RTFP,3.9635246423568526
Onions Fresh,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,1.9521490091944704,5.454860914967274,1.972514812376569,-2.671031863986706,,0.0,0,0,0,14,WB_RTFP,2.1613405640727112
Rice Long-Grain Imported,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,1.3591864559248323,5.92684406626991,1.324675651211904,-3.5285489249152313,,,0,0,1,14,WB_RTFP,1.183451782515732
Yam Tuber,2008-03-01,2008-02-01,1.0,6.123233995736766e-17,2.421828191547837,2.9448234094096915,2.8795079675705715,-0.4953266065252371,,0.0,0,1,0,14,WB_RTFP,5.300048370518162
Agric Hen Eggs (Crate of 30 Pieces),2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,3.9526872716864725,2.314004020375049,3.0890359203081807,3.1052334408410376,,0.0,0,1,0,15,WB_RTFP,2.9625062529920365
Beans Brown,2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,5.745444389966825,5.835303816729143,4.8840214336703935,11.265223576619011,,0.0,0,1,0,15,WB_RTFP,11.580165342109904
Beef Boneless,2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,2.5711133384387352,0.8731897268193345,2.5237801779463442,3.7011014617913007,,0.0,0,0,0,15,WB_RTFP,3.4739318483602455
Garri White,2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,-0.8764112618232622,0.7364435873068009,10.703723376912656,10.491613320584792,,0.0,0,1,0,15,WB_RTFP,14.168263239151035
Goat Meat Bone-In,2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,2.539781781583361,1.19587321292014,2.431099527198377,3.4109456451183684,,0.0,0,0,0,15,WB_RTFP,3.4607448827727705
Maize White Grain,2008-04-01,2008-03-01,0.8660254037844387,-0.4999999999999998,3.9635246423568526,3.7513350436573,7.950601435838922,3.3957237285849207,,0.0,0,0,0,15,WB_RTFP,5.418641269257951
